Id,Abstract,Summary,
!001,"Efficient storage technology (absorption and desorption) is the key to boom the application of hydrogen as energy storage media. Among the solid-state hydrogen storage materials, magnesium-based material exhibits many advantages and is considered one of the most promising materials. However, the disadvantages including poor hydrogen absorption, desorption kinetics and high operating temperature still need to be modified. The addition of catalysts is one of the optimal ways to improve the kinetic performance of MgH2. However, transition metal-based catalysts exhibit excellent catalytic performance. This work mainly summarizes the addition of Co/Ni/Fe-based catalysts on the hydrogen storage performances of Mg. While examining the differences in the performance of each catalyst, some future research perspectives are also illustrated. ","Among the solid-state hydrogen storage materials, magnesium-based material exhibits many advantages and is considered one of the most promising materials. However, the disadvantages including poor hydrogen absorption, desorption kinetics and high operating temperature still need to be modified.",_
!002,"Developing safer and more efficient hydrogen storage technology is a pivotal step to realizing the hydrogen economy. Owing to the lightweight, high hydrogen storage density and abundant reserves, MgH2 has been widely studied as one of the most promising solid-state hydrogen storage materials. However, defects such as stable thermodynamics, sluggish kinetics and rapid capacity decay have seriously hindered its practical application. This article reviews recent advances in catalyst doping and nanostructures for improved kinetic performance of MgH2/Mg systems for hydrogen release/absorption, the tuning of their thermodynamic stability properties by alloying and reactant destabilization, and the dual thermodynamic and kinetic optimization of the MgH2/Mg system achieved by nanoconfinement with in situ catalysis and ball milling with in situ aerosol spraying, aiming to open new perspectives for the scale-up of MgH2 for hydrogen storage applications. ","Owing to the lightweight, high hydrogen storage density and abundant reserves, MgH2 has been widely studied as one of the most promising solid-state hydrogen storage materials. However, defects such as stable thermodynamics, sluggish kinetics and rapid capacity decay have seriously hindered its practical application.",_
!003,"MgH2, as one of the typical solid-state hydrogen storage materials, has attracted extensive attention. However, the slow kinetics and poor cycle stability limit its application. In this work, LiBH4 and YNi5 alloy were co-added as additives to MgH2 via ball milling, thereby realizing an excellent dehydrogenation performance and good cycle stability at 300 °C. The MgH2-0.04LiBH4-0.01YNi5 composite can release 7 wt.% of hydrogen in around 10 min at 300 °C and still have a reversible hydrogen storage capacity of 6.42 wt.% after 110 cycles, with a capacity retention rate as high as 90.3 % based on the second dehydrogenation capacity. The FTIR results show that LiBH4 can reversibly absorb and desorb hydrogen throughout the hydrogen ab/desorption process, which contributes a portion of the reversible hydrogen storage capacity to the MgH2-0.04LiBH4-0.01YNi5 composite. Due to the small amount of LiBH4 and YNi5, the dehydrogenation activation energy of MgH2 did not decrease significantly, nor did the dehydrogenation enthalpy (∆H) change. However, the MgNi3B2 and in-situ formed YH3 during the hydrogen absorption/desorption cycles is not only beneficial to the improvement of the kinetics performance for MgH2 but also improves its cycle stability. This work provides a straightforward method for developing high reversible hydrogen capacity on Mg-based hydrogen storage materials with moderate kinetic performance. ","MgH2, as one of the typical solid-state hydrogen storage materials, has attracted extensive attention. However, the slow kinetics and poor cycle stability limit its application.",_
!004,"MgH2 has been attracted extensive attention because of its superior hydrogen storage performance and good reversibility. Further improvement of its kinetics and thermodynamic performances is needed to achieve widespread application. This article investigated the hydrogen storage properties of the thermodynamic optimized Mg-TiCrV hydrogen storage composite modified by layered Ti3C2 materials containing different 3d transition metal particles (Fe, Co, Ni). Mg-TiCrV/Ti3C2-X (X = Fe, Co, Ni) composites can absorb more than 5.30 wt% hydrogen within 1 min at 453 K under 3 MPa hydrogen pressure, and desorb more than 5.25 wt% hydrogen within 60 min at 543 K to 0.1 MPa. In particular, Mg-TiCrV/Ti3C2-Ni composite exhibited the best hydrogen storage properties, which can desorb 4.98 wt% hydrogen within 60 min at 523 K to 0.1 MPa hydrogen pressure and absorb 5.80 wt% hydrogen within 1 min at 453 K under 3 MPa hydrogen pressure. Structural analysis shows that the synergistic effect of layered material Ti3C2 and Ni particles promote the hydrogen release and uptake process. ",MgH2 has been attracted extensive attention because of its superior hydrogen storage performance and good reversibility. Further improvement of its kinetics and thermodynamic performances is needed to achieve widespread application.,_
!005,"The design of catalysts with excellent catalytic activity plays an important role in the field of solid-state hydrogen storage of new energy sources. Herein, a novel hydrangea-like NiO@NiMoO4 composite catalyst was prepared through a facile hydrothermal reaction. Subsequently, NiO@NiMoO4 was doped into MgH2 by ball milling to solve the problems of high dehydrogenation temperature and slow desorption kinetics of MgH2. It can be seen from the experimental results that the MgH2 + 10 wt% NiO@NiMoO4 composite starts to dehydrogenate at about 190 °C, which is about 170 °C lower than that of pure MgH2. Meanwhile, after complete dehydrogenation, the composites can start to absorb hydrogen below 40 °C. Compared with pure MgH2, the activation energy of hydrogen absorption and dehydrogenation of the composite decreased by 47.6 kJ/mol and 46.5 kJ/mol, respectively. In 10th cycle tests, the MgH2 + 10 wt% NiO@NiMoO4 composite still has good cycle stability. After adding a small amount of biomass charcoal, the hydrogen storage capacity can even be maintained above 97%. Furthermore, the characterization results show that the in situ generated new species Mo and Mg2Ni/Mg2NiH4 synergistically promote the adsorption and dissociation of hydrogen. This new synergistic mechanism provides new comprehensive insights for improving reversible hydrogen storage in MgH2","Meanwhile, after complete dehydrogenation, the composites can start to absorb hydrogen below 40 °C. After adding a small amount of biomass charcoal, the hydrogen storage capacity can even be maintained above 97%.",_
!006,"The 0.55LiBH4-0.45Mg(BH4)2 (LMBH) eutectic composite is promising for solid-state hydrogen storage, as it exhibits a high hydrogen capacity and a very low initial dehydrogenation temperature. However, its main hydrogen release steps still require higher temperatures. In the present study, few-layer Ti2C has been synthesized and utilized as catalysts in the LMBH. Compositing LMBH with varying amounts of Ti2C (10, 20, 30, and 40 wt%) results in low initial dehydrogenation temperatures (164–110 °C), fast desorption rates and high hydrogen capacities (7.5–10.5 wt%) at a low temperature of 260 °C. The LMBH-30Ti2C composite yields 6.5 wt% H2 even at as low as 200 °C. Additionally, the LMBH-30Ti2C composite could reversibly store 3.5 wt% H2 during the second to fourth dehydrogenation cycles without degradation. The outstanding hydrogen storage performance could be attributed to decomposition driven by reactions between high-valence Ti ions and LMBH, the in-situ formation of the active metal Ti catalyst, and the prevention of aggregation in the Ti2C-doped LMBH. © 2023 Elsevier B.V.","However, its main hydrogen release steps still require higher temperatures. Compositing LMBH with varying amounts of Ti2C (10, 20, 30, and 40 wt%) results in low initial dehydrogenation temperatures (164–110 °C), fast desorption rates and high hydrogen capacities (7.5–10.5 wt%) at a low temperature of 260 °C.",_
!007,"Magnesium hydride is one of the most sought-after materials for solid state hydrogen storage due to its low cost and high gravimetric capacity (7.6 wt% hydrogen). However, high temperature of desorption (>350 °C) and slow kinetics limit its use for commercial on-board applications. In this work, accumulative roll bonding (ARB) technique has been utilized to synthesise Mg–LaNi5–Mg2Ni-soot hybrid with enhanced hydrogen storage properties. It is seen that the hybrid absorbs ∼6.2 wt% hydrogen at a plateau pressure of ∼2 bar at 300 °C and exhibits fast kinetics with ∼6.6 wt% hydrogen absorption within ∼30 min at 300 °C and 20 bar hydrogen pressure. The role of Mg2Ni as a catalyst as well as hydrogen absorbing medium provides an effect akin to ‘hydrogen pump’, thus enhancing the rate of hydrogen absorption. Presence of carbon in various forms such as aciniform, carbonaceous microgel and cenospheres (derived from soot) plays a vital role by providing channels for diffusion of hydrogen through the hybrid. The ARB technique provides an inexpensive and scalable method of synthesis of Mg based hybrids with large number of interfaces and high amount of strain leading to enhanced hydrogen storage properties. © 2023 Hydrogen Energy Publications LLC","However, high temperature of desorption (>350 °C) and slow kinetics limit its use for commercial on-board applications. In this work, accumulative roll bonding (ARB) technique has been utilized to synthesise Mg–LaNi5–Mg2Ni-soot hybrid with enhanced hydrogen storage properties.",_
!008,"Herein, a novel approach by designing Schottky-structured CoNi nano-alloys were introduced. After compositing with MgH2, its initial hydrogen absorption started at a low temperature of 40 °C. At a temperature of 300 °C, 6.5 wt% of H2 was released in only 10 min. Furthermore, the kinetic analysis revealed a pivotal transformation in the control model for dehydrogenation of MgH2, shifted from surface penetration to diffusion at a moderate temperature of 250 °C with the introduction of CoNi-CoO@rGO. After modification, the activation energy for hydrogen de/absorption decreased from 116 kJ/mol and 79.39 kJ/mol, to 66 kJ/mol and 54.39 kJ/mol, respectively. It is noteworthy that the CoNi-CoO@rGO-modified MgH2 exhibited excellent cycling performance, retained an impressive hydrogen storage capacity of 97% after 20 cycles at 300 °C. The innovation of this work lies in the following three aspects: 1) the uniform distribution of CoNi-CoO@rGO nanoparticles on the surface of MgH2 significantly enhanced the contact area and promoted the catalytic activity, 2) the synergistic effect between Mg2Co-Mg2CoH5 and Mg2Ni-Mg2NiH4 attenuate the intensity of the Mg-H bond and quickened the post-discharge of MgH2, 3) the incorporation of a CoO-induced Schottky structure accelerated the H transfer in MgH2 and improved the hydrogen absorption and release efficiency. © 2023 Elsevier B.V.","After compositing with MgH2, its initial hydrogen absorption started at a low temperature of 40 °C. It is noteworthy that the CoNi-CoO@rGO-modified MgH2 exhibited excellent cycling performance, retained an impressive hydrogen storage capacity of 97% after 20 cycles at 300 °C.",_
!009,"Despite the promise of TiFe-based alloys as low-cost solid-state hydrogen storage materials with mild operating conditions and reasonable hydrogen capacity, their initial hydrogenation process is difficult, hindering broad utilization. The effect of alloying element on the initial hydrogenation kinetics of TiFe alloys, TiFe0.9M0.1 (M = V, Cr, Fe, Co and Ni), was evaluated by analyzing changes to the passivating surface oxide layer that inhibits hydrogen permeation, as well as the ease of initial-stage hydrogen absorption into the underlying matrix. X-ray photoelectron spectroscopy and atom probe tomography revealed key variations in surface oxide compositions and thinning of the passivating oxide layer compared to pure TiFe, which suggests suppressed oxide growth by alloying-induced elemental redistribution. At the same time, density functional theory calculations predicted exothermic formation of hydride nuclei when alloying with V or Cr, as well as a reduced nucleation barrier when alloying with Co or Ni. Overall, these results are consistent with the observed experimental trend of the activation kinetics. We propose that improvements in activation kinetics of TiFe with alloying arises from the combined effect of reduced passivating oxide thickness and easier hydride nucleation, offering a starting point for alloy design strategies towards further improvement. © 2022 The Author(s)","At the same time, density functional theory calculations predicted exothermic formation of hydride nuclei when alloying with V or Cr, as well as a reduced nucleation barrier when alloying with Co or Ni. We propose that improvements in activation kinetics of TiFe with alloying arises from the combined effect of reduced passivating oxide thickness and easier hydride nucleation, offering a starting point for alloy design strategies towards further improvement.",_
!010,"NaH and LiH are theoretically capable of storing hydrogen, but several challenges remain to be overcome before they can be widely used for hydrogen storage. In this study, LiH and NaH were ball-milled and the effect of surface area and hydrogen pressure on hydrogen storage capacity was investigated using the solid-state hydrogen storage method. XRD patterns and Raman spectra show significant shifts in main peak positions of LiH and NaH after hydrogen adsorption. BET analysis shows a significant increase in the specific surface area of LiH and NaH from 6.25 m2/g to 12.35 m2/g and from 1.34 m2/g to 2.33 m2/g respectively due to ball milling. The FTIR spectra showed more bonds in the 400–1200 cm⁻1 fingerprint region after storing hydrogen in LiH and NaH. This suggests structural changes with enhanced bond bending due to hydrogen. At 9 bar pressure, LiH and NaH exhibited excellent hydrogen storage, with ball-milled LiH reaching about 3.55 wt% and 652 sccm, and NaH achieving approximately 1.58 wt% and 291 sccm. These results highlight the significant influence of surface area and hydrogen pressure on hydrogen storage potential. Incorporating the storage potential within the evaluation of PEM fuel cell performance, we suggest that an increased storage capacity directly corresponds to an augmented power density. The analysis of power density over time revealed that the hydrogen adsorbed ball-milled LiH exhibited the highest power density, peaking at 0.075 Wcm−2 over the long term. In contrast, LiH displayed a lower power density (0.025 Wcm−2) while maintaining its long-term performance. The hydrogen adsorbed NaH and hydrogen adsorbed ball-milled NaH displayed power densities 0.050 Wcm−2 and 0.073 Wcm−2, respectively, but they showed short-term performance. © 2023 Elsevier Inc.","This suggests structural changes with enhanced bond bending due to hydrogen. In contrast, LiH displayed a lower power density (0.025 Wcm−2) while maintaining its long-term performance.",_
!011,"The first principle of calculation is a computational technique based on quantum mechanics that may precisely determine the ground-state electronic structure and associated mechanical and thermodynamic characteristics of solid materials. This study explains the history of first-principles development, calculation techniques, and the use of ultra-soft pseudopotential in hydrogen storage materials based on an inquiry and analysis of the findings of previous research. This paper primarily reviews the research progress of first principles in improving two-dimensional hydrogen storage materials, metal-organic framework materials, alkali metal-base composite hydrides, and metal-base hydrogen storage materials in order to speculate on the hydrogen storage mechanisms of materials. It is possible to estimate the location of hydrogen adsorption in a material by computing its electronic structure, band structure, electron density, and lattice vibration. This information is then used to compute the hypothetical new hydrogen storage material. Finally, the direction of first-principles computing in hydrogen storage materials is anticipated. © 2023 Hydrogen Energy Publications LLC",The first principle of calculation is a computational technique based on quantum mechanics that may precisely determine the ground-state electronic structure and associated mechanical and thermodynamic characteristics of solid materials. This information is then used to compute the hypothetical new hydrogen storage material.,_
!012,"Magnesium hydride is one of the most promising solid-state hydrogen storage materials for on-board application. Hydrogen desorption from MgH2 is accompanied by the formation of the Mg/MgH2 interfaces, which may play a key role in the further dehydrogenation process. In this work, first-principles calculations have been used to understand the dehydrogenation properties of the Mg(0001)/MgH2(110) interface. It is found that the Mg(0001)/MgH2(110) interface can weaken the Mg–H bond. The removal energies for hydrogen atoms in the interface zone are significantly lower compared to those of bulk MgH2. In terms of H mobility, hydrogen diffusion within the interface as well as into the Mg matrix is considered. The calculated energy barriers reveal that the migration of hydrogen atoms in the interface zone is easier than that in the bulk MgH2. Based on the hydrogen removal energies and diffusion barriers, we conclude that the formation of the Mg(0001)/MgH2(110) interface facilitates the dehydrogenation process of magnesium hydride. © 2024 The Authors","Magnesium hydride is one of the most promising solid-state hydrogen storage materials for on-board application. In terms of H mobility, hydrogen diffusion within the interface as well as into the Mg matrix is considered.",_
